dataset,model,model_full,metric,n_queries,mean,ci_lo,ci_hi,ci_str
synonym_setB,e5-large-v2,intfloat/e5-large-v2,hits@1,4750,0.3217,0.3084,0.3349,0.322 [0.308–0.335]
synonym_setB,multilingual-e5-large,intfloat/multilingual-e5-large,hits@1,4750,0.3101,0.2975,0.3236,0.310 [0.297–0.324]
synonym_setB,e5-small-v2,intfloat/e5-small-v2,hits@1,4750,0.2962,0.2832,0.3095,0.296 [0.283–0.309]
synonym_setB,S-PubMedBert-MS-MARCO,pritamdeka/S-PubMedBert-MS-MARCO,hits@1,4750,0.2644,0.252,0.2773,0.264 [0.252–0.277]
synonym_setB,bge-base-en-v1.5,BAAI/bge-base-en-v1.5,hits@1,4750,0.244,0.2316,0.2566,0.244 [0.232–0.257]
synonym_setB,BM25,BM25,hits@1,4750,0.2396,0.2278,0.2518,0.240 [0.228–0.252]
synonym_setB,pubmedbert-base-embeddings,NeuML/pubmedbert-base-embeddings,hits@1,4750,0.2278,0.2158,0.24,0.228 [0.216–0.240]
synonym_setB,all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,hits@1,4750,0.2255,0.2137,0.2375,0.225 [0.214–0.237]
synonym_setB,all-mpnet-base-v2-bioasq-matryoshka,juanpablomesa/all-mpnet-base-v2-bioasq-matryoshka,hits@1,4750,0.2122,0.2008,0.2238,0.212 [0.201–0.224]
synonym_setB,BioS-MiniLM,menadsa/BioS-MiniLM,hits@1,4750,0.1924,0.1813,0.204,0.192 [0.181–0.204]
synonym_setB,all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,hits@1,4750,0.1876,0.1764,0.1989,0.188 [0.176–0.199]
synonym_setB,ClinicalBERT,medicalai/ClinicalBERT,hits@1,4750,0.1257,0.1164,0.1352,0.126 [0.116–0.135]
synonym_setB,RapidFuzz,RapidFuzz,hits@1,4750,0.0695,0.0623,0.0766,0.069 [0.062–0.077]
synonym_setB,Bio_ClinicalBERT,emilyalsentzer/Bio_ClinicalBERT,hits@1,4750,0.0592,0.0526,0.0659,0.059 [0.053–0.066]
synonym_setB,ETE3,ETE3,hits@1,4750,0.0276,0.0229,0.0324,0.028 [0.023–0.032]
synonym_setB,SapBERT-from-PubMedBERT-fulltext,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,hits@1,4750,0.008,0.0057,0.0105,0.008 [0.006–0.011]
