hits@1_mean,hits@1_std,hits@5_mean,hits@5_std,hits@10_mean,hits@10_std,recall@100_mean,recall@100_std,mrr_mean,mrr_std,ndcg@10_mean,ndcg@10_std,time_ms_mean,time_ms_std,model,category,dataset,n_queries
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,296.47856020741165,17.284648212947587,sentence-transformers/all-MiniLM-L6-v2,general,microbiome,500
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,597.9389815381728,9.06434929942091,sentence-transformers/all-mpnet-base-v2,general,microbiome,500
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,598.6420643872116,6.5653434779153494,juanpablomesa/all-mpnet-base-v2-bioasq-matryoshka,general,microbiome,500
0.93,0.2551470164434615,0.98,0.13999999999999999,0.984,0.125475097130865,0.998,0.044676615807377355,0.9520259772391352,0.18186241856549187,0.9593727545521761,0.16209191630254732,591.2808877886273,2.365326418544673,BAAI/bge-base-en-v1.5,general,microbiome,500
0.986,0.11749042514179613,0.998,0.044676615807377355,1.0,0.0,1.0,0.0,0.9918666666666667,0.07030460708785576,0.9938874271883503,0.05325056397792761,299.0716454440262,4.7393158911977045,intfloat/e5-small-v2,general,microbiome,500
0.988,0.10888526071052962,1.0,0.0,1.0,0.0,1.0,0.0,0.9935,0.059856077385675714,0.9951706506518613,0.044576498470788394,745.6916245049797,14.307170682474974,intfloat/e5-large-v2,general,microbiome,500
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,744.6127361180261,14.486620654714374,intfloat/multilingual-e5-large,general,microbiome,500
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,299.56963920407,4.813013913010699,menadsa/BioS-MiniLM,biomedical,microbiome,500
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,598.4829340965953,6.050743093460469,NeuML/pubmedbert-base-embeddings,biomedical,microbiome,500
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,598.1602601895574,5.869323191367012,pritamdeka/S-PubMedBert-MS-MARCO,biomedical,microbiome,500
0.232,0.4221089906647335,0.354,0.4782091592598368,0.41,0.4918333050943175,0.528,0.4992153843783262,0.2907553452356571,0.4103322430961964,0.3160295334399988,0.41781455824433444,597.1602663430385,2.736851454143635,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,biomedical,microbiome,500
0.57,0.4950757517794625,0.646,0.4782091592598368,0.678,0.4672429774753174,0.778,0.4155911452377204,0.6064875238791776,0.4635344070537594,0.6206835205621386,0.45859905086151487,594.6324787663762,5.869529488871161,medicalai/ClinicalBERT,clinical,microbiome,500
0.43,0.4950757517794625,0.48,0.49959983987187184,0.526,0.4993235424051224,0.628,0.48333839077813795,0.46028182113040156,0.4770539993543347,0.4723476321672993,0.4765431055633832,597.2295766407624,3.324999210594474,emilyalsentzer/Bio_ClinicalBERT,clinical,microbiome,500
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,290.22010042564943,18.377066572695515,ETE3,baseline,microbiome,500
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5591.964046327863,1891.1084993294928,RapidFuzz,baseline,microbiome,500
